Silva-CO	
X	CO
0.00E+00	-3.22E-06
0.04059	-3.22E-06
0.11292	2.36E-05
0.179	2.36E-05
0.26814	-3.22E-06
0.35182	-3.22E-06
0.44096	-3.22E-06
0.5391	-3.22E-06
0.66852	-3.22E-06
0.778	-3.22E-06
0.88161	-3.22E-06
1.00556	-3.01E-05
1.11504	-3.01E-05
1.18972	-3.01E-05
1.22725	5.91E-04
1.23585	0.00132
1.24445	0.00226
1.25618	0.00494
1.27339	0.00692
1.28786	0.00796
1.29919	0.0085
1.32813	0.00881
1.35393	0.00881
1.3684	0.00819
1.39421	0.00695
1.42314	0.00571
1.44621	0.00488
1.46615	0.00423
1.49508	0.00373
1.51815	0.00336
1.56429	0.00276
