Silva-T	
X	T
0	309.80713
0.05025	309.80713
0.10374	313.68578
0.14327	313.68578
0.19637	317.56442
0.24443	325.87579
0.32853	329.75444
0.4045	341.94445
0.47504	358.01312
0.54519	374.08178
0.60139	394.02908
0.6634	413.97638
0.73355	449.99235
0.81805	502.63106
0.89091	554.71569
0.96145	631.18035
1.01184	707.09092
1.03742	759.72964
1.0599	815.6929
1.08509	904.34758
1.10486	996.32681
1.13005	1088.86014
1.15524	1189.15074
1.18082	1281.68407
1.20601	1378.09603
1.22849	1470.62935
1.25369	1558.72994
1.27888	1627.43732
1.30446	1675.6433
1.32965	1711.65927
1.35485	1735.48521
1.37733	1751.55387
1.40562	1747.67523
1.43663	1739.91795
1.46453	1731.60657
1.49825	1719.41655
